game_id,status,total_actions,num_matched,first_divergence_action_index,first_divergence_action_type,divergence_kind,drop_reason,first_error_msg
82657,perfect,519,519,,,,,
82658,perfect,508,508,,,,,
82659,perfect,870,870,,,,,
82660,perfect,878,878,,,,,
82661,perfect,787,787,,,,,
82662,perfect,867,867,,,,,
82663,perfect,855,855,,,,,
82664,perfect,337,337,,,,,
82665,perfect,811,811,,,,,
82666,perfect,797,797,,,,,
82667,perfect,410,410,,,,,
82668,perfect,803,803,,,,,
82669,perfect,362,362,,,,,
82670,dropped,0,0,,,,illegal_share_buy,
82671,perfect,722,722,,,,,
82672,perfect,356,356,,,,,
82673,perfect,301,301,,,,,
82674,perfect,587,587,,,,,
82675,perfect,879,879,,,,,
82724,perfect,979,979,,,,,
82728,dropped,0,0,,,,illegal_share_buy,
82770,perfect,354,354,,,,,
82947,perfect,819,819,,,,,
82990,perfect,346,346,,,,,
83013,perfect,386,386,,,,,
83023,dropped,0,0,,,,illegal_share_buy,
83156,perfect,862,862,,,,,
83207,perfect,414,414,,,,,
83230,perfect,714,714,,,,,
83277,dropped,0,0,,,,cross_president_buy_train,
83308,perfect,809,809,,,,,
83401,dropped,0,0,,,,illegal_share_buy,
83524,perfect,456,456,,,,,
83665,perfect,892,892,,,,,
83764,perfect,932,932,,,,,
83822,perfect,473,473,,,,,
83875,perfect,853,853,,,,,
83909,perfect,359,359,,,,,
83915,dropped,0,0,,,,illegal_share_buy,
84191,dropped,0,0,,,,cross_player_buy_company,
84211,perfect,846,846,,,,,
84427,perfect,786,786,,,,,
84528,perfect,329,329,,,,,
84601,perfect,800,800,,,,,
84829,perfect,613,613,,,,,
84885,perfect,777,777,,,,,
84955,perfect,853,853,,,,,
85171,perfect,441,441,,,,,
85210,perfect,323,323,,,,,
85244,perfect,478,478,,,,,
85254,perfect,399,399,,,,,
85445,dropped,0,0,,,,illegal_share_buy,
85472,perfect,366,366,,,,,
85586,perfect,790,790,,,,,
85610,perfect,508,508,,,,,
85621,perfect,885,885,,,,,
85623,perfect,494,494,,,,,
